X,Y
-3399431.6992660584,2616205.9852528237
-3379257.030427683,2616205.9852528237
-6594671.3808852825,2620906.3193980856
11693200.530670146,2627486.7872014525
-2688800.582590844,2632187.1213467144
-3395977.267956161,2653808.65841492
-6466103.509854088,2665089.4603635487
11779117.981372077,2682950.730115544
-2616878.204297289,2692351.398406068
-6663591.667490468,2695171.5988932257
-3123899.264073328,2696111.6657222775
-6518754.96837014,2710212.6681580637
-6613984.674178896,2723373.603764797
-2776584.085844309,2733714.338884373
-2735959.002519538,2756275.9427816314
-9328410.718487862,2759096.1432687882
10194740.408362204,2765676.611072155
-3971290.556145902,2778837.5466788886
-8907047.007477468,2782597.813995098
10472898.588064032,2797638.8832599367
-2598640.767499734,2808919.685208565
-2687449.5965359258,2821140.553986247
-10844109.247260427,2823960.754473404
-2624448.5834533605,2837121.690080137
-7167711.400791575,2837121.690080137
-7167711.400791575,2837121.690080137
-7575447.439673418,2839001.823738242
-7575447.439673418,2839001.823738242
10245791.651901241,2845582.291541609
11711949.798370186,2851222.692515923
-9322316.077286454,2867203.828609814
-3258942.3845919953,2874724.363242233
-4188505.744487577,2883184.9647037047
-3530709.0351128667,2886945.2320199143
-6675425.005359493,2888825.3656780194
-2666847.6770399082,2892585.632994229
-2666847.6770399082,2892585.632994229
-4004123.870323643,2895405.833481386
-6758736.89955497,2904806.5017719097
-10940372.57754774,2932068.4398144297
-2599653.4691195614,2934888.6403015866
-2678444.9595332937,2942409.174934006
-9227993.10496929,2944289.3085921104
-2879531.524215843,2945229.3754211627
-7003511.810100802,2953689.976882635
-4120362.169497183,2959330.3778569493
-2703469.12538976,2964970.778831263
-6886871.449459239,2965910.8456603163
-6836542.028901901,2973431.3802927346
-14380218.397055238,2973431.3802927346
9419144.006945617,2982832.048583259
-2732943.7221804834,2988472.449557573
-10372071.714084156,3004453.5856514643
-2649001.8867215333,3007273.7861386216
-3442733.5811632075,3009153.919796726
-2837779.04778499,3012914.1871129354
-10475726.335070198,3015734.387600093
-6892445.55909236,3022314.8554034596
-2776853.8394718315,3027015.189548722
-2778414.154930866,3044876.4593007173
-2734195.232077351,3054277.127591241
8445276.554477176,3058037.394907451
8583759.996526157,3069318.1968560796
-8927709.542643344,3070258.263685132
8428977.2682163,3075898.6646594466
10230028.36174411,3076838.731488499
-10439686.574272694,3084359.266120918
-12416555.462912379,3090939.733924285
-3399765.9655157216,3102220.535872914
-9573971.883274287,3134182.8080606954
-2705248.0091976183,3136062.9417188
8876341.625830548,3144523.543180272
-10303394.893518534,3150163.944154586
-14281997.740006678,3157684.4787870054
-6970489.821063756,3158624.5456160577
-6970489.821063756,3158624.5456160577
-1774067.650291348,3159564.61244511
-6969776.035499426,3168025.2139065815
-3324238.930513994,3171785.481222791
11376156.216110263,3173665.6148808957
-10369194.335029488,3186826.5504876287
8383467.521015889,3191526.884632892
-2870704.732402146,3193407.0182909956
-7100668.140125373,3196227.218778154
-7100668.140125373,3196227.218778154
-14196475.857957678,3197167.2856072052
8305855.08293442,3199047.4192653103
-14029829.928976843,3199987.486094363
-6806088.100707262,3203747.753410572
-2968252.1511863833,3220668.9563335157
-3714347.450682446,3223489.156820673
-3871012.4907918232,3231009.6914530923
-1586315.8387158408,3232889.8251111973
-7307807.543885297,3246050.7607179307
-2785955.0442725183,3252631.228521297
-3393241.9826564975,3254511.362179402
-8959028.850731157,3256391.4958375073
-1305947.1445330433,3260151.7631537165
-10236666.31789724,3264852.097298978
-3284567.627858527,3267672.2977861357
-2931454.794537182,3277072.9660766595
-1049416.221672342,3288353.7680252884
-2859666.9444426363,3294934.235828655
-1892367.6592774857,3299634.5699739177
-10223089.476226784,3302454.7704610745
10828589.737598956,3303394.837290127
-2083515.7830094509,3304334.9041191796
-1181594.9913140552,3307155.104606336
11657451.806473348,3311855.438751598
-1924255.7487922877,3311855.438751598
-3257675.8567683054,3318435.9065549653
-2750747.5093013053,3327836.574845489
-3015011.6322570452,3328776.641674541
-9429448.522613982,3342877.6441103276
-929476.5332426216,3355098.5128880087
-8887274.165573008,3355098.5128880087
11839815.507697359,3363559.1143494803
-14043557.051266188,3363559.1143494803
-8920878.652397849,3369199.515323795
-1929301.8396578028,3372019.7158109522
-4162085.067935922,3389880.985562947
-3210712.8310022224,3392701.1860501054
-2668471.4148295363,3393641.252879157
11095474.24269593,3399281.653853471
8541550.875279095,3400221.7206825237
-2960487.97806348,3402101.8543406283
-9543251.848994773,3402101.8543406283
-10159502.371785173,3403981.987998733
-8136356.055008619,3412442.589460205
-2032409.7783553167,3414322.7231183094
-9619700.403405612,3416202.856776415
-4337798.663198652,3442524.7279898813
-2778493.2764888327,3450985.3294513533
-13213105.641125793,3454745.5967675634
-2871411.9622258726,3458505.8640837725
-12569761.329035645,3461326.06457093
12037280.182354111,3462266.1313999817
-10721736.835882854,3469786.666032401
-10303201.999892756,3478247.267493873
-10117414.583710108,3483887.6684681876
-2047306.5175542128,3500808.8713911306
-2063360.3316744128,3502689.0050492347
7909667.275276366,3510209.5396816544
-2088345.8435082675,3520550.274801231
-2562955.721388609,3522430.408459335
11893626.116659995,3529010.8762627025
-2065248.3425337868,3531831.07674986
7851476.183700048,3549692.3465018547
-3357223.6306045963,3559093.0147923785
-10534853.43959272,3560033.081621431
-11314987.621965677,3567553.6162538505
-3179966.988143836,3576014.217715322
-9291589.003620641,3579774.485031531
11126052.945087355,3594815.5542963706
-814886.8097721259,3596695.6879544742
-10997336.215271845,3610796.6903902604
-3913673.999548889,3616437.0913645746
7918910.769832106,3626777.826484151
10716913.684926117,3631478.1606294136
-14232580.788635869,3639938.762090885
-3085260.1150586638,3652159.6308685667
11885215.902406424,3656859.9650138277
-2538588.1303965533,3657800.0318428804
-2166902.4204549748,3669080.8337915097
11210281.156207409,3675661.301594877
-2931136.0541491634,3676601.368423929
10306771.306528151,3676601.368423929
11910550.614150597,3693522.5713468716
-2838489.000660349,3725484.8435346535
9365568.40719726,3734885.511825177
11042896.047715135,3740525.9127994915
-2994852.800844821,3751806.71474812
-10441572.419314694,3752746.7815771736
-2710362.8496427317,3753686.8484062254
12017235.006635703,3755566.98206433
11318188.487964774,3756507.048893383
-3270438.1529834666,3767787.850842011
-9395199.435830263,3777188.519132535
-10770899.339813372,3778128.5859615877
-8910810.031860929,3795989.8557135835
-13679253.112860406,3799750.123029793
11570167.531774813,3801630.256687897
-3573573.0609044475,3821371.660097998
-2469765.389795544,3822311.72692705
12093197.940868704,3827952.1279013646
8723217.195127921,3830772.328388522
-12065393.583683595,3840172.9966790457
-10754492.204676442,3855214.065943884
-2563247.4564519925,3864614.7342344085
-2398864.278951126,3865554.8010634603
-14085500.610256579,3868375.001550618
-7171349.131778799,3878715.736670194
-2328390.1320905755,3881535.9371573515
-13119499.397845967,3890936.6054478753
11382559.668170096,3901277.340567452
-9324339.017381877,3919138.6103194477
-2354961.4134325185,3928539.2786099715
12281531.548102451,3931359.4790971284
10842155.564806199,3934179.679584286
-2308229.765318354,3936999.880071443
-12184948.941468889,3937939.9469004953
-2750664.8249744237,3972722.4195754337
12293091.252063183,3981183.0210369057
11226405.185358051,3984943.288353115
-11195940.259023089,4014085.3600537395
10778532.851897018,4046047.632241521
-763603.0858226056,4047927.7658996265
-6448262.427371819,4065789.0356516214
-12741969.901058948,4092110.9068650887
11503306.130713979,4108092.04295898
-5494703.912357973,4120312.91173666
-2063899.6548027196,4122193.0453947657
-2175507.47212565,4125013.245881923
-10888313.9217939,4176716.9214798044
-11368891.492024953,4213379.527812848
10239377.118798302,4227480.530248634
-12479798.92048024,4236881.198539157
11762262.277021445,4269783.537555993
11943307.21078695,4278244.139017464
7644990.239939081,4279184.205846516
-12327697.217306674,4282004.406333674
-12697831.942917777,4300805.742914721
-10406698.175826594,4369430.621435545
-2180543.300264675,4378831.28972607
-9598046.840078639,4438995.566785424
-2264062.2765131406,4450276.368734053
-12306608.192442682,4452156.502392158
-11383980.446148532,4465317.437998891
7617198.284934929,4477538.306776572
-3742527.4075278523,4503860.177990039
-12004306.006316746,4525481.715058244
-11584966.088825166,4532062.18286161
-9128295.777080813,4580005.591143283
-12768821.658852018,4592226.459920965
7501613.990530856,4629829.13308306
-9793036.602618188,4698454.011603885
-11667229.271639768,4708794.746723462
-10266629.546473332,4742637.152569348
-12616826.749984235,4759558.355492292
-12494639.278382443,4780239.825731444
-12267499.87372471,4787760.360363863
8223711.488834541,4798101.09548344
-12843181.891301202,4842284.236448903
-11000509.389417006,4909969.048140675
-12367677.247358436,4923129.983747408
-12940133.061439976,4933470.718866984
-11633847.85498728,4937230.986183194
-8478839.956646571,5001155.530558758
-13260300.566189712,5013376.399336439
-12911196.053856365,5027477.401772224
8181752.56549297,5033117.802746539
-11869358.891514482,5034057.869575592
-12851663.160967907,5057559.5403019
-10363102.95444862,5066960.208592425
-7919328.2647325965,5150626.1563780885
-6450378.234060597,5170367.55978819
-5646787.982621609,5174127.827104399
-7452986.574541373,5184468.562223976
-11534731.492888609,5234292.104163752
-9429004.298744189,5240872.571967118
-8462457.466460474,5244632.8392833285
-12935214.709973676,5252153.373915748
-4793930.077319906,5265314.309522482
-8868153.203219255,5295396.448052158
-7458519.322349196,5345219.989991935
-10864918.383289129,5577416.496767878
-11429577.066109084,5631940.372852917
-9821344.182093194,5633820.506511021
-10249661.203203853,5656382.110408278
